French,English
histoire,history
seulement,only
police,police
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
chaque,each
parlé,speak
arrivé,come
bébé,baby
vont,will
pendant,while
revoir,meet again
aucune,any
compris,understood
attention,Warning
voici,here is
affaire,case
type,type
leurs,their
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
première,first
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
jouer,to play
bureau,office
